age,housing,deposits,withdrawal,purchases_partners,purchases,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type
21.0,R,11,2,53,11,1,0,0,0,1,0,Bi-Weekly
30.0,O,1,1,48,1,1,1,1,0,1,0,Bi-Weekly
26.0,O,0,0,0,0,1,1,1,1,0,0,na
33.0,R,0,0,116,0,1,1,1,1,0,0,Bi-Weekly
30.0,na,0,0,0,0,1,1,1,1,0,2,Bi-Weekly
42.0,R,0,0,5,0,1,0,0,1,0,0,na
34.0,na,0,0,0,0,1,1,1,0,1,0,Weekly
26.0,R,10,0,37,10,1,0,0,1,1,5,Semi-Monthly
30.0,R,13,0,89,12,1,1,1,0,1,0,Bi-Weekly
20.0,R,3,0,63,3,1,0,0,0,1,0,Bi-Weekly
23.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
48.0,na,0,0,0,0,1,0,0,1,0,0,Monthly
35.0,O,0,0,0,0,1,0,0,0,1,0,Monthly
46.0,R,7,2,57,7,1,1,1,0,1,0,Bi-Weekly
34.0,R,0,0,0,0,1,1,1,1,0,0,Bi-Weekly
23.0,na,0,0,1,0,1,0,0,0,1,0,Bi-Weekly
28.0,R,17,1,82,17,1,1,1,0,1,0,na
43.0,R,3,0,81,3,1,1,1,1,1,2,na
44.0,na,0,0,4,0,1,1,1,1,0,0,Bi-Weekly
33.0,R,0,0,140,0,1,1,1,0,1,0,Bi-Weekly
18.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
60.0,R,0,0,0,0,1,1,1,1,0,0,Monthly
39.0,na,24,1,69,24,1,1,1,0,1,0,na
35.0,na,0,0,0,0,1,1,1,1,0,0,Bi-Weekly
32.0,na,0,0,0,0,1,1,1,0,1,0,na
26.0,na,0,0,36,0,1,1,1,0,1,0,na
26.0,R,1,0,27,1,1,0,0,0,1,3,Weekly
24.0,R,3,1,82,3,1,0,0,0,1,0,Bi-Weekly
38.0,na,0,0,0,0,1,0,0,1,0,0,Bi-Weekly
32.0,R,24,6,36,24,1,1,1,1,1,2,Bi-Weekly
47.0,na,0,0,1,0,1,0,0,0,1,0,Bi-Weekly
26.0,R,1,0,56,1,1,0,0,0,1,2,na
26.0,na,0,0,31,0,1,0,0,1,0,2,Bi-Weekly
33.0,na,0,0,32,0,1,0,0,0,1,0,Bi-Weekly
35.0,na,0,0,102,0,1,1,1,1,0,0,Bi-Weekly
22.0,na,0,0,2,0,1,0,0,0,1,0,Bi-Weekly
27.0,R,0,0,10,0,1,1,1,0,1,0,Bi-Weekly
27.0,na,0,0,7,0,1,0,0,0,1,0,Bi-Weekly
24.0,R,2,2,50,2,1,0,0,0,1,0,na
21.0,na,0,0,7,0,1,0,0,0,1,0,Monthly
25.0,R,2,0,22,2,1,1,1,0,1,2,Bi-Weekly
26.0,R,10,1,14,10,1,0,0,0,1,0,na
27.0,R,0,0,1,0,1,0,0,0,1,0,Weekly
22.0,R,9,2,107,9,1,1,1,0,1,0,Bi-Weekly
52.0,na,0,0,40,0,1,1,1,1,0,0,Semi-Monthly
25.0,na,0,0,25,0,1,1,1,0,1,0,na
32.0,na,0,0,23,0,1,0,0,1,0,0,Bi-Weekly
30.0,na,41,0,27,41,1,1,1,0,1,0,Weekly
23.0,R,6,4,59,6,1,1,1,0,1,2,Bi-Weekly
26.0,R,5,1,93,5,1,0,0,0,1,0,na
26.0,R,3,0,38,3,1,0,0,0,1,0,na
20.0,R,1,0,72,1,1,1,1,0,1,0,Bi-Weekly
32.0,na,6,0,24,6,1,1,1,0,1,0,na
45.0,R,0,0,0,0,1,1,1,1,1,2,Bi-Weekly
25.0,O,0,0,67,0,1,1,1,0,1,0,Bi-Weekly
35.0,R,15,0,3,15,1,1,1,0,1,0,Bi-Weekly
22.0,na,0,0,0,0,1,1,1,1,0,2,Bi-Weekly
28.0,na,59,0,63,55,1,1,1,0,1,0,Bi-Weekly
20.0,na,0,0,5,0,1,0,0,0,1,0,Semi-Monthly
30.0,R,0,0,34,0,1,0,0,0,1,2,Weekly
40.0,O,8,0,52,8,1,1,1,1,0,0,na
27.0,O,1,0,13,1,1,0,0,0,1,0,Bi-Weekly
36.0,R,0,0,0,0,1,1,1,1,1,2,Bi-Weekly
36.0,R,0,0,8,0,1,1,1,1,0,2,Bi-Weekly
30.0,R,2,0,62,2,1,1,1,1,0,0,Bi-Weekly
42.0,R,2,0,47,2,1,1,1,1,0,2,na
72.0,na,0,0,0,0,1,1,1,0,1,0,Monthly
23.0,na,0,0,12,0,1,0,0,0,1,2,Bi-Weekly
39.0,R,8,3,76,8,1,0,0,1,0,0,Weekly
38.0,R,0,0,0,0,1,1,1,1,0,0,Monthly
38.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
37.0,R,0,0,0,0,1,1,1,1,1,2,Bi-Weekly
20.0,na,0,0,47,0,1,0,0,0,1,0,Bi-Weekly
56.0,na,1,0,37,1,1,1,1,1,0,2,Weekly
19.0,R,1,0,102,1,1,1,1,1,1,5,na
48.0,na,0,0,0,0,1,1,1,1,0,0,Weekly
39.0,na,2,0,1,2,1,0,0,0,1,0,Bi-Weekly
39.0,na,0,0,7,0,1,1,1,1,0,0,Bi-Weekly
24.0,na,0,0,35,0,1,0,0,1,0,3,Bi-Weekly
39.0,na,0,0,0,0,1,0,0,1,0,0,Bi-Weekly
29.0,R,7,2,52,7,1,1,1,0,1,0,Semi-Monthly
21.0,na,0,0,0,0,1,0,0,0,1,0,Semi-Monthly
32.0,R,0,0,0,0,1,1,1,0,1,0,na
41.0,R,0,0,0,0,1,1,1,1,0,2,Bi-Weekly
42.0,R,21,3,31,21,1,1,1,1,1,2,Weekly
29.0,O,0,0,0,0,1,1,1,1,0,0,Weekly
21.0,na,0,0,0,0,1,1,1,0,1,0,na
39.0,R,12,1,8,12,1,1,1,1,0,0,Weekly
40.0,R,3,0,148,3,1,0,0,1,0,0,Weekly
22.0,R,6,1,198,6,1,1,1,0,1,0,Bi-Weekly
21.0,R,0,0,5,0,1,1,1,1,0,0,Bi-Weekly
52.0,na,1,1,24,1,1,0,0,1,0,2,Bi-Weekly
27.0,R,0,0,172,0,1,1,1,1,0,0,Bi-Weekly
23.0,na,2,0,15,2,1,0,0,0,1,3,Monthly
28.0,R,8,0,20,8,1,1,1,1,0,0,Weekly
57.0,O,54,0,69,54,1,1,1,1,0,0,Weekly
50.0,na,5,0,71,5,1,0,0,0,1,2,Bi-Weekly
29.0,na,1,1,12,1,1,1,1,1,0,3,Weekly
37.0,O,4,0,17,4,1,0,0,1,0,0,Bi-Weekly
30.0,R,16,1,69,16,1,1,1,0,1,0,na
22.0,na,0,0,0,0,1,0,0,1,0,2,na
42.0,R,0,0,42,0,1,1,1,0,1,0,Weekly
25.0,R,16,3,23,16,1,0,0,0,1,0,na
22.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
43.0,O,0,0,0,0,1,1,1,0,1,3,Semi-Monthly
33.0,O,49,4,56,49,1,1,1,0,1,0,Bi-Weekly
35.0,R,1,0,70,1,1,1,1,0,1,2,Bi-Weekly
27.0,R,10,1,93,10,1,1,1,0,1,0,Weekly
23.0,R,1,0,3,1,1,0,0,1,0,0,Bi-Weekly
30.0,O,0,0,0,0,1,1,1,0,1,2,Semi-Monthly
19.0,na,0,0,0,0,1,0,0,0,1,0,Bi-Weekly
25.0,O,2,0,2,2,1,1,1,1,0,2,Monthly
23.0,na,0,0,0,0,1,0,0,1,1,2,Weekly
43.0,na,0,0,0,0,1,1,1,0,1,2,Bi-Weekly
26.0,na,6,0,10,6,1,1,1,0,1,0,Monthly
24.0,R,6,0,163,6,1,1,1,0,1,0,na
20.0,na,0,0,5,0,1,0,0,0,1,0,Bi-Weekly
22.0,na,0,0,2,0,1,0,0,1,0,2,Weekly
26.0,na,0,0,0,0,1,1,1,1,0,0,na
26.0,R,0,0,0,0,1,1,1,0,1,0,na
32.0,R,10,0,0,10,1,0,0,1,0,0,Bi-Weekly
46.0,R,1,0,2,1,1,0,0,1,0,0,Weekly
21.0,na,0,0,1,0,1,0,0,0,1,0,na
30.0,O,0,0,146,0,1,0,0,1,0,0,Weekly
36.0,na,0,0,13,0,1,0,0,1,0,0,na
36.0,R,0,0,4,0,1,1,1,1,0,2,Semi-Monthly
22.0,na,0,0,17,0,1,0,0,0,1,2,Bi-Weekly
42.0,na,0,0,0,0,1,0,0,0,1,0,Bi-Weekly
30.0,na,4,0,0,4,1,0,0,1,0,0,Bi-Weekly
26.0,R,0,0,0,0,1,0,0,0,1,0,Weekly
26.0,R,0,0,0,0,1,0,0,0,1,0,Semi-Monthly
31.0,R,0,0,0,0,1,1,1,0,1,2,Bi-Weekly
36.0,R,60,4,120,60,1,1,1,0,1,0,Monthly
36.0,R,10,0,92,10,1,1,1,0,1,0,Monthly
45.0,O,0,0,26,0,1,1,1,0,1,0,Bi-Weekly
31.0,O,11,1,34,11,1,1,1,1,0,2,Bi-Weekly
48.0,R,0,0,0,0,1,1,1,1,0,0,na
21.0,R,0,0,46,0,1,0,0,0,1,0,Bi-Weekly
26.0,na,1,0,2,1,1,0,0,1,0,0,Monthly
35.0,na,0,0,33,0,1,0,0,1,0,0,Semi-Monthly
47.0,O,10,0,17,10,1,0,0,1,0,0,Weekly
36.0,na,14,1,18,14,1,1,1,1,0,0,na
29.0,R,1,1,12,1,1,1,1,1,1,3,Bi-Weekly
41.0,R,0,0,0,0,1,0,0,1,0,0,Weekly
45.0,R,0,0,46,0,1,1,1,0,1,0,Weekly
26.0,na,0,0,7,0,1,1,1,0,1,0,Weekly
26.0,R,0,0,48,0,1,1,1,0,1,0,Bi-Weekly
25.0,R,0,0,12,0,1,0,0,0,1,0,Weekly
25.0,na,35,2,77,35,1,1,1,0,1,0,Weekly
36.0,na,0,0,9,0,1,1,1,1,0,0,Monthly
30.0,na,1,0,5,1,1,1,1,1,0,0,Bi-Weekly
30.0,R,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
30.0,R,5,1,75,5,1,1,1,1,0,0,Bi-Weekly
31.0,na,0,0,4,0,1,0,0,0,1,0,Bi-Weekly
43.0,R,0,0,0,0,1,1,1,1,0,0,Semi-Monthly
36.0,R,49,0,56,49,1,1,1,1,0,2,Bi-Weekly
38.0,R,0,0,0,0,1,0,0,1,0,0,Bi-Weekly
31.0,R,0,0,24,0,1,1,1,0,1,0,Monthly
28.0,R,5,3,101,5,1,0,0,0,1,0,Weekly
50.0,na,0,0,0,0,1,1,1,1,0,0,Monthly
32.0,R,0,0,65,0,1,1,1,0,1,0,Semi-Monthly
36.0,O,0,0,0,0,1,1,1,0,1,2,Bi-Weekly
24.0,na,0,0,8,0,1,1,1,1,0,0,Bi-Weekly
36.0,R,4,0,37,4,1,1,1,0,1,2,Weekly
31.0,O,1,1,1,1,1,0,0,0,1,0,Monthly
41.0,na,0,0,0,0,1,1,1,1,0,2,na
42.0,R,1,1,21,1,1,1,1,1,0,0,Weekly
26.0,O,0,0,0,0,1,1,1,0,1,0,Weekly
19.0,na,0,0,0,0,1,0,0,1,1,2,Weekly
39.0,R,14,0,28,14,1,1,1,1,0,0,Bi-Weekly
23.0,na,0,0,44,0,1,0,0,0,1,0,Bi-Weekly
34.0,R,0,0,100,0,1,1,1,1,0,0,Weekly
29.0,O,14,1,68,14,1,1,1,1,0,0,na
31.0,na,0,0,0,0,1,0,0,0,1,0,na
37.0,R,0,0,61,0,1,1,1,1,0,0,Bi-Weekly
30.0,O,0,0,62,0,1,1,1,0,1,2,Semi-Monthly
51.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
32.0,R,0,0,0,0,1,1,1,1,0,0,Weekly
32.0,na,5,1,40,5,1,0,0,1,0,0,Bi-Weekly
37.0,R,0,0,0,0,1,0,0,0,1,3,Bi-Weekly
33.0,na,0,0,54,0,1,0,0,0,1,0,Bi-Weekly
28.0,R,0,0,188,0,1,1,1,0,1,0,Weekly
25.0,R,0,0,0,0,1,1,1,1,0,3,Bi-Weekly
31.0,na,0,0,9,0,1,1,1,1,0,0,Semi-Monthly
24.0,na,0,0,4,0,1,0,0,0,1,0,Bi-Weekly
36.0,na,0,0,0,0,1,1,1,0,1,0,Semi-Monthly
22.0,O,0,0,8,0,1,0,0,0,1,0,Weekly
51.0,na,0,0,0,0,1,1,1,1,0,2,na
38.0,R,44,3,75,44,1,1,1,0,1,0,Bi-Weekly
27.0,na,0,0,84,0,1,0,0,1,0,0,Semi-Monthly
45.0,O,25,2,87,24,1,0,0,1,0,0,Bi-Weekly
22.0,na,0,0,22,0,1,1,1,0,1,0,Bi-Weekly
27.0,O,1,1,0,1,1,0,0,0,1,0,Weekly
24.0,na,0,0,0,0,1,0,0,0,1,0,Semi-Monthly
23.0,na,0,0,8,0,1,1,1,0,1,0,Bi-Weekly
35.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
38.0,O,57,0,71,56,1,1,1,0,1,0,Bi-Weekly
36.0,na,1,0,13,1,1,1,1,1,0,2,Semi-Monthly
43.0,na,19,1,26,18,1,1,1,0,1,0,Bi-Weekly
19.0,R,0,0,32,0,1,1,1,0,1,0,Weekly
56.0,R,3,0,127,3,1,1,1,0,1,0,na
25.0,R,1,1,29,1,1,0,0,1,0,2,Semi-Monthly
26.0,na,0,0,0,0,1,1,1,0,1,2,Bi-Weekly
27.0,R,39,6,85,38,1,1,1,1,0,0,Bi-Weekly
38.0,R,20,3,0,20,1,1,1,1,0,2,Bi-Weekly
39.0,R,17,1,21,17,1,0,0,1,0,0,Bi-Weekly
46.0,na,2,1,100,2,1,1,1,1,1,4,Bi-Weekly
26.0,R,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
24.0,R,1,0,78,1,1,1,1,0,1,0,Weekly
28.0,na,0,0,0,0,1,1,1,1,0,2,Weekly
22.0,R,0,0,0,0,1,0,0,0,1,0,Semi-Monthly
33.0,O,0,0,0,0,1,1,1,1,0,0,Monthly
28.0,R,1,0,19,0,1,0,0,0,1,0,na
27.0,na,0,0,0,0,1,0,0,0,1,0,Monthly
25.0,na,1,0,2,1,1,0,0,0,1,0,Bi-Weekly
37.0,na,0,0,73,0,1,1,1,1,0,0,Bi-Weekly
37.0,R,22,1,19,22,1,1,1,0,1,2,Weekly
48.0,R,20,0,41,20,1,1,1,0,1,0,Weekly
25.0,O,1,0,168,0,1,1,1,1,0,0,Weekly
46.0,R,2,1,69,2,1,1,1,0,1,2,Semi-Monthly
34.0,na,0,0,0,0,1,0,0,1,0,0,Bi-Weekly
44.0,R,0,0,2,0,1,1,1,1,0,0,Monthly
33.0,na,2,0,61,2,1,0,0,0,1,0,Weekly
27.0,R,0,0,1,0,1,1,1,0,1,0,Monthly
25.0,R,1,0,250,1,1,1,1,0,1,0,Bi-Weekly
47.0,na,2,0,87,2,1,1,1,0,1,0,Bi-Weekly
25.0,O,7,0,2,7,1,1,1,1,0,2,Weekly
26.0,na,0,0,22,0,1,0,0,0,1,0,Bi-Weekly
30.0,R,10,1,22,10,1,1,1,0,1,4,Bi-Weekly
44.0,O,10,0,22,10,1,1,1,0,1,0,Bi-Weekly
55.0,R,0,0,0,0,1,1,1,0,1,0,na
47.0,O,57,1,101,57,1,1,1,0,1,0,Semi-Monthly
36.0,na,0,0,84,0,1,1,1,1,0,0,Bi-Weekly
26.0,R,1,1,0,1,1,1,1,0,1,2,Bi-Weekly
37.0,na,0,0,5,0,1,1,1,1,0,0,Weekly
27.0,na,0,0,24,0,1,0,0,0,1,0,na
25.0,R,5,0,119,5,1,1,1,0,1,0,Bi-Weekly
25.0,R,0,0,35,0,1,0,0,0,1,0,Bi-Weekly
30.0,R,1,0,2,1,1,0,0,0,1,0,Weekly
36.0,R,0,0,0,0,1,1,1,1,0,0,Weekly
32.0,R,17,0,32,14,1,1,1,1,0,2,na
33.0,na,0,0,0,0,1,0,0,0,1,0,Bi-Weekly
30.0,na,0,0,0,0,1,0,0,0,1,2,Monthly
32.0,R,2,0,91,2,1,1,1,0,1,0,Bi-Weekly
42.0,R,1,1,57,1,1,0,0,1,0,0,na
29.0,na,5,2,11,5,1,0,0,0,1,0,Semi-Monthly
41.0,R,21,9,181,20,1,0,0,1,0,0,Bi-Weekly
35.0,na,0,0,0,0,1,0,0,0,1,0,Bi-Weekly
32.0,R,9,0,30,9,1,0,0,0,1,0,Semi-Monthly
26.0,na,0,0,15,0,1,0,0,1,0,0,Bi-Weekly
33.0,R,0,0,0,0,1,1,1,1,0,0,na
24.0,na,0,0,3,0,1,0,0,1,0,0,Bi-Weekly
30.0,R,37,3,76,37,1,1,1,0,1,2,Weekly
43.0,na,0,0,4,0,1,1,1,1,0,0,Semi-Monthly
32.0,R,0,0,0,0,1,1,1,0,1,0,Weekly
22.0,R,11,2,80,11,1,0,0,0,1,0,Weekly
19.0,R,0,0,0,0,1,1,1,0,1,2,Bi-Weekly
37.0,R,0,0,0,0,1,1,1,1,1,2,Bi-Weekly
26.0,O,32,4,61,32,1,1,1,0,1,0,Bi-Weekly
44.0,na,0,0,11,0,1,1,1,0,1,0,na
45.0,O,28,0,52,27,1,1,1,1,0,0,Bi-Weekly
30.0,na,0,0,3,0,1,0,0,0,1,0,Monthly
22.0,na,0,0,10,0,1,1,1,0,1,0,na
41.0,R,0,0,0,0,1,0,0,0,1,2,Monthly
36.0,R,14,0,61,14,1,0,0,0,1,0,Monthly
33.0,na,0,0,20,0,1,1,1,0,1,0,Bi-Weekly
47.0,O,0,0,0,0,1,1,1,1,0,0,Bi-Weekly
32.0,na,0,0,0,0,0,1,0,0,0,0,Weekly
30.0,na,0,0,0,0,1,0,0,1,0,0,Semi-Monthly
41.0,R,14,1,15,14,1,1,1,1,0,0,na
37.0,O,0,0,88,0,1,1,1,0,1,0,Semi-Monthly
26.0,R,0,0,130,0,1,0,0,0,1,0,Bi-Weekly
23.0,R,15,0,39,15,1,0,0,0,1,0,Bi-Weekly
33.0,na,11,3,26,11,1,1,1,0,1,0,Bi-Weekly
58.0,na,0,0,85,0,1,1,1,1,0,2,na
32.0,na,0,0,0,0,1,1,1,0,1,2,Bi-Weekly
57.0,R,0,0,0,0,1,1,1,1,0,0,Monthly
26.0,R,2,0,158,2,1,0,0,1,0,0,Bi-Weekly
32.0,na,0,0,5,0,1,1,1,1,0,2,Bi-Weekly
37.0,na,0,0,34,0,1,1,1,1,0,2,na
32.0,R,0,0,30,0,1,0,0,1,0,0,Bi-Weekly
30.0,R,0,0,0,0,1,0,0,1,0,0,Bi-Weekly
27.0,O,0,0,50,0,1,1,1,0,1,2,Weekly
43.0,na,3,0,93,3,1,1,1,0,1,2,Bi-Weekly
37.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
25.0,R,0,0,0,0,1,1,1,1,0,0,Weekly
22.0,na,0,0,0,0,1,1,1,0,1,2,Bi-Weekly
34.0,O,1,0,71,1,1,1,1,0,1,0,Monthly
21.0,R,0,0,69,0,1,1,1,0,1,0,Weekly
28.0,R,0,0,0,0,1,1,1,0,1,3,Semi-Monthly
28.0,na,52,2,63,49,1,1,1,1,0,0,Semi-Monthly
33.0,O,1,0,55,1,1,0,0,1,0,0,Weekly
32.0,na,0,0,0,0,1,0,0,1,0,0,Weekly
45.0,R,40,1,96,40,1,0,0,0,1,0,Weekly
39.0,O,0,0,144,0,1,1,1,0,1,0,na
34.0,na,0,0,60,0,1,1,1,0,1,0,Bi-Weekly
40.0,O,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
28.0,R,0,0,3,0,1,1,1,1,0,2,Bi-Weekly
37.0,na,30,1,69,30,1,1,1,0,1,0,Bi-Weekly
41.0,R,0,0,0,0,1,1,1,1,0,0,Weekly
44.0,R,0,0,0,0,1,1,1,0,1,0,na
21.0,R,13,4,57,13,1,1,1,0,1,0,Bi-Weekly
27.0,na,0,0,0,0,0,1,0,0,0,0,Bi-Weekly
30.0,na,0,0,0,0,1,0,0,1,0,0,na
52.0,R,20,1,10,20,1,1,1,0,1,0,Bi-Weekly
20.0,na,0,0,7,0,1,0,0,0,1,0,Bi-Weekly
24.0,R,0,0,3,0,1,0,0,0,1,0,Bi-Weekly
48.0,O,11,2,5,11,1,1,1,1,0,2,Monthly
26.0,R,0,0,0,0,1,1,1,0,1,0,Weekly
37.0,R,2,1,46,2,1,0,0,1,0,2,na
22.0,R,1,0,0,1,1,0,0,0,1,0,Bi-Weekly
32.0,R,0,0,23,0,1,0,0,0,1,0,Semi-Monthly
25.0,R,0,0,0,0,1,1,1,0,1,0,Weekly
23.0,na,14,9,35,14,1,0,0,1,0,0,Bi-Weekly
22.0,R,0,0,84,0,1,1,1,0,1,2,Bi-Weekly
42.0,O,25,0,26,25,1,1,1,0,1,0,Bi-Weekly
34.0,R,0,0,0,0,1,1,1,0,1,4,Weekly
32.0,na,0,0,0,0,1,1,1,1,0,0,Bi-Weekly
40.0,na,0,0,0,0,1,1,1,0,1,2,Weekly
62.0,R,0,0,0,0,1,1,1,1,0,0,Bi-Weekly
28.0,na,19,0,89,18,1,0,0,0,1,2,Weekly
31.0,O,0,0,6,0,1,0,0,0,1,0,Weekly
20.0,na,0,0,0,0,0,1,0,0,0,0,Bi-Weekly
40.0,O,0,0,0,0,1,1,1,0,1,0,Semi-Monthly
29.0,R,1,0,60,1,1,1,1,0,1,2,na
56.0,na,0,0,0,0,1,1,1,0,1,0,Monthly
54.0,R,0,0,0,0,1,1,1,1,0,0,Weekly
36.0,R,4,1,96,4,1,1,1,0,1,2,Weekly
25.0,R,0,0,67,0,1,1,1,0,1,0,Monthly
25.0,R,0,0,49,0,1,0,0,0,1,0,Monthly
20.0,R,0,0,0,0,1,0,0,0,1,0,Bi-Weekly
45.0,R,0,0,5,0,1,1,1,1,0,0,Monthly
22.0,na,0,0,1,0,1,1,1,0,1,0,Semi-Monthly
22.0,na,0,0,0,0,1,1,1,0,1,0,Weekly
43.0,R,9,1,0,8,1,1,1,1,0,0,na
25.0,na,0,0,1,0,1,0,0,0,1,2,Weekly
38.0,na,0,0,0,0,1,0,0,1,0,0,Monthly
22.0,R,8,1,28,8,1,0,0,0,1,0,Monthly
39.0,R,0,0,0,0,1,1,1,0,1,0,Semi-Monthly
34.0,na,3,1,30,3,1,1,1,0,1,0,na
61.0,na,0,0,0,0,1,1,1,0,1,0,Bi-Weekly
21.0,na,0,0,4,0,1,1,1,1,0,2,Bi-Weekly
45.0,na,2,2,16,2,1,1,1,1,0,0,Monthly
19.0,na,2,0,6,2,1,1,1,0,1,0,na
49.0,R,31,1,113,31,1,1,1,1,0,0,na
22.0,R,3,0,24,3,1,0,0,0,1,0,Bi-Weekly
22.0,R,1,0,4,1,1,0,0,0,1,0,Bi-Weekly
51.0,R,0,0,30,0,1,1,1,1,0,2,Semi-Monthly
28.0,R,51,3,156,50,1,1,1,1,0,0,na
27.0,na,0,0,73,0,1,1,1,0,1,0,Bi-Weekly
54.0,R,16,7,93,16,1,1,1,0,1,0,Bi-Weekly
35.0,na,1,0,10,0,1,0,0,0,1,0,Bi-Weekly
35.0,na,0,0,0,0,1,0,0,0,1,0,Bi-Weekly
34.0,O,0,0,79,0,1,0,0,1,0,0,Bi-Weekly
23.0,R,0,0,41,0,1,0,0,0,1,0,Weekly
27.0,O,33,1,85,31,1,0,0,1,0,0,Bi-Weekly
25.0,na,0,0,0,0,1,0,0,1,0,0,Bi-Weekly
39.0,R,0,0,66,0,1,1,1,0,1,2,na
27.0,O,0,0,40,0,1,1,1,0,1,0,Semi-Monthly
30.0,R,0,0,103,0,1,0,0,1,0,0,Bi-Weekly
50.0,na,0,0,9,0,1,1,1,0,1,0,Monthly
32.0,na,0,0,0,0,1,0,0,0,1,0,Semi-Monthly
32.0,R,0,0,0,0,1,0,0,1,0,0,Weekly
24.0,R,3,0,53,3,1,1,1,0,1,0,Bi-Weekly
26.0,na,0,0,0,0,1,1,1,1,1,3,Monthly
30.0,R,0,0,2,0,1,0,0,1,0,0,Bi-Weekly
37.0,R,1,1,44,1,1,1,1,0,1,3,Semi-Monthly
29.0,na,0,0,1,0,1,1,1,1,0,0,na
27.0,R,0,0,0,0,1,1,1,1,0,0,Bi-Weekly
22.0,na,0,0,23,0,1,1,1,0,1,0,Bi-Weekly
26.0,na,0,0,0,0,1,0,0,0,1,0,Monthly
36.0,na,0,0,1,0,1,0,0,1,0,0,Bi-Weekly
47.0,na,0,0,1,0,1,1,1,1,1,2,Bi-Weekly
28.0,na,0,0,0,0,1,1,1,1,0,0,na
20.0,na,1,0,5,1,1,1,1,1,0,0,na
42.0,na,0,0,0,0,1,0,0,1,0,2,Weekly
43.0,na,0,0,3,0,1,1,1,1,0,2,Bi-Weekly
40.0,na,0,0,36,0,1,1,1,0,1,0,Monthly
40.0,O,0,0,27,0,1,1,1,0,1,0,Monthly
24.0,na,9,0,44,9,1,1,1,0,1,0,Bi-Weekly
25.0,na,0,0,1,0,1,1,1,1,0,0,Bi-Weekly
52.0,na,0,0,52,0,1,1,1,1,0,0,Bi-Weekly
